lenguaje,tamaño_input,tiempo_ms,memoria_kb
Python,100,1.201,31.55
Python,100,1.217,31.60
Python,100,1.219,31.60
Python,100,1.198,31.38
Python,100,1.198,31.55
Go,100,0.000,13.50
Go,100,0.000,13.50
Go,100,0.000,13.50
Go,100,0.000,13.50
Go,100,0.000,13.50
Ruby,100,0.284,48.584
Ruby,100,0.292,48.536
Ruby,100,0.285,48.096
Ruby,100,0.283,48.088
Ruby,100,0.246,48.168

Python,500,12.126,548.90
Python,500,12.324,548.90
Python,500,12.650,548.90
Python,500,13.959,548.90
Python,500,12.234,548.67
Go,500,0.000,78.00
Go,500,0.000,78.00
Go,500,0.338,78.00
Go,500,0.000,78.00
Go,500,0.000,78.00
Ruby,500,1.439,253.208
Ruby,500,1.457,253.512
Ruby,500,1.421,253.992
Ruby,500,1.26,253.216
Ruby,500,1.521,253.784

Python,1000,,
Python,1000,,
Python,1000,,
Python,1000,,
Python,1000,,
Go,1000,0.000,164.38
Go,1000,0.000,164.38
Go,1000,0.000,164.38
Go,1000,0.513,164.38
Go,1000,0.000,164.38
Ruby,1000,2.689,526.936
Ruby,1000,2.718,526.872
Ruby,1000,2.895,526.888
Ruby,1000,3.025,526.832
Ruby,1000,2.847,526.880

Python,5000,,
Python,5000,,
Python,5000,,
Python,5000,,
Python,5000,,
Go,5000,1.160,1076.94
Go,5000,0.637,1076.94
Go,5000,1.045,1076.94
Go,5000,2.362,1076.94
Go,5000,1.045,1076.94
Ruby,5000,15.375,3002.000
Ruby,5000,14.696,3009.000
Ruby,5000,13.823,2998.000
Ruby,5000,14.211,2998.000
Ruby,5000,15.706,2999.000

Python,10000,,
Python,10000,,
Python,10000,,
Python,10000,,
Python,10000,,
Go,10000,1.144,2280.52
Go,10000,2.177,2280.52
Go,10000,1.665,2280.52
Go,10000,1.652,2280.52
Go,10000,1.590,2280.52
Ruby,10000,35.986,6168.000
Ruby,10000,34.811,6181.000
Ruby,10000,30.394,6172.000
Ruby,10000,31.274,6175.000
Ruby,10000,31.314,6169.000

